Customer_ID,Full Name,Gen,Age,Address,City,State,PostalCode,Country,Phone,E-Mail,Update_Date,Status,Updated_by
1001,John Smith,M,51,1515 NW 58th St.,Seattle,WA,98107,US,(206) 389-4227,John.Smith@avrev.com,40102,A,R_Hunt
1002,N. J. Higgins,M,59,998 Rosemary St.,Denver,CO,80230,,,N..Higgins@memri.org,40102,A,A_Jones
1003,Fran Schwartz,F,55,2100 S. Ocean Ave SW,Palm Bay,FL,32908,US,9546252913,,40102,I,A_Jones
1004,Dawn Schwartz,F,26,8100 Sunrise Lakes Blvd.,Sunrise,FL,33322,US,(954) 6253319,Dawn.Schwartz@avrev.com,40102,I,S_Taylor
1005,Steve Ahern,M,51,100 Cardinal Way,Redwood City,CA,,USA,(412) 215-9843,Steve.Ahern@suitdepot.com,40102,A,A_Jones
1006,Isabel A. Quam,F,31,641 Landau Drive,Woodbury,MN,55125,USA,972.851.4685,Isabel.Quam@forbes.com,40102,A,S_Taylor
1007,James Higgins,M,46,559 West 37th st,Chicago,IN,,US,720-892-1456,James.Higgins@testfreaks.com,40102,A,A_Jones
1008,John Smith,M,53,2125 Upper 45th St. E.,Inver Grove Heights,MN,55077,US,206.389.4213,John.Smith@ryanair.com,40102,A,M_Jackson
1009,Dawn Schwartz,F,26,8100 Sunrise Lakes Blvd,Fort Lauderdale,FL,33330,US,954-625-3319,Dawn.Schwartz@mail.avrev.com,40102,A,M_Smith
1010,Dawn V. Schwartz,F,26,8100 Sunrise Lakes Blvd,Fort Lauderdale,FL,33330,United States,9546253319,Dawn.Schwartz@avrev.com,40102,A,T_Lee
1011,Dorothy Zotta,F,45,4911 Sutherland Ave.,St. Louis,MO,,US,call: 314-254-2322,Dorothy.Zotta@cbsnews.com,40102,,A_Jones
1012,Stephen J. Ahern,M,53,120 Davidson Avenue,Somerset,NJ,8873,US,,Stephen.Ahern@photojournal.com,39860,A,A_Jones
1013,Carl J. Kuhen,M,50,500 Birch Driv.,Stratford,CT,6614,USA,,Carl.Kuhen@rethinkingschools.org,40102,A,A_Jones
1014,Mellisa A. Bernardi,F,47,7201 Charles Court,Dallas,TX,75217,U.S.A.,972.851.4685,M.Bernardi@gmail.com,40102,A,T_Lee
1015,Mellisa Bernardi,F,47,7201 Charles Court,Dallas,TX,,U.S.A.,,M.Bernardi@gmail.com,40102,,A_Jones
1016,Isabel Quam,F,31,641 Landau Drive,Woodbury,MN,55125,USA,9728514685,Isabel.Quam@forbes.com,40102,,T_Lee
1017,Steve J. Ahern,M,,101 Laurel Court,Pittsburgh,PA,15202,,(412)215-9843,Steve.J.Ahern@metaverseroadmap.org,39860,Active,A_Jones
1018,Dawn V. Schwartz,F,26,12498 Sheridan St.,Ft. Lauderdale,FL,,US,9546253319,Dawn.Schwartz@avrev.com,40102,A,A_Jones
1019,Mellisa A Bernardi,F,59,7201 Charles Ct.,Dallas,X,,US,972851468,M.Bernardi@gmail.com,40102,Active,A_Jones
1020,Gladys A. Pritchet,F,49,262 E. Lawrence Avenue,Springfield,IL,62701,,,Gladys.Pritchet@tucows.com,40102,I,A_Jones
1021,John Meyers,M,,1902 Utah Street,Seattle,WA,98107,US,,John_Meyers@avrev.com,40102,,A_Jones
1022,Nate J. Higgins,M,59,998 Rosemary St.,Denver,CO,,US,,Nate.Higgins@memri.org,40102,A,A_Jones
1023,Dawn Schwartz,F,,8100 Sunrise Lakes Blvd.,Fort Lauderdale,FL,,,(954) 625-3319,Dawn.Schwartz@avrev.com,40102,A,A_Jones
1024,Tonya Smith,F,49,1515 NW 58th St.,Seattle,WA,,U.S.,,Tonya_Smith@avrev.com,40102,A,A_Jones
1025,A G Keesecker,,33,1201 The Corners Parkway,Atlanta,GA,30092,US,(404) 448-5210,A.GKeesecker@retrevo.com,40102,I,T_Lee
1026,Al Sneller,M,42,401 Southbrook Parkway,Kerney,MO,64061,-,816.635.6684,Al.Sneller@lonelyplanet.com,40102,Active,M_Jackson
1027,Alan Urschel,M,24,3000 Milford Ct,Norcross,GA,30092,US,(404) 448/5210,Alan.Urschel@retrevo.com,40102,A,T_Lee
1029,Andre Hayes,M,29,1902 University Dr,Atlanta,GA,30305,US,,Andre.Hayes@medscape.com,40102,Inactive,S_Taylor
1030,Annika Larsson,F,35,1531 Stout Street,Denver,CA,80202,US,,Annika_Larsson@piratescove.net,40102,A,A_Jones
1031,Anthony Dillon,M,22,2002 Church Road,Greenspring,NC,27455,US,(910) 545-2223,Anthony.Dillon@aesthetic.com,40102,A,T_Lee
1032,Arthur Nelson,M,34,3650 Claypond Road,Myrtle Beach,SC,29579,US,(803) 744-0150,Arthur.Nelson@askasia.org,40102,A,T_Lee
1033,B J Kemple,F,24,4506 Lively Ln,Dallas,TX,75220,USA,(214) 904-9704,B.JKemple@documentography.com,40102,Active,M_Jackson
1034,Bob Bainbridge,M,23,4113 James Cir,,MN,55112,US,(612) 628-0015,Bob.Bainbridge@geocaching.com,40102,A,M_Jackson
1035,Brad Poorman,M,44,2 Village Drive,Abilene,TX,79606,US,915/677-1741,Brad.Poorman@superkids.com,40102,Active,A_Jones
1036,Brent Salzer,M,25,4001 South 700,Salt Lake City,UT,84107,US,,Brent.Salzer@adr.com,40102,A,T_Lee
1037,Carol Brookins,F,26,1150 18th Street NW,Washington,DC,20036,US,(202) 785-3345,Carol.Brookins@digitaljournalist.org,40102,Inactive,B_Kelly
1038,Carol Whitaker,F,59,3385 South Clayton Blvd,Englewood,CO,80110,,(303) 733-7474,Carol.Whitaker@teachernet.com,40102,A,B_Kelly
1039,Chris Storbeck,M,59,2559 Hall Johnson Road,Grapevine,TX,76051,US,(817) 291-9060,Chris.Storbeck@books.google.com,40102,A,T_Lee
1040,Cindy Hanson,F,35,655 Ox Driv,Woodbury,MN,55122,U.S.A.,(651) 792-1329,mailto:Cindy.Hanson@askasia.org,40102,A,B_Kelly
1041,Tim Diefendorf,M,63,628 Hebron Avenue,Glastonbury,CT,6033,US,,Tim.Diefendorf@rootsweb.com,40102,A,M_Jackson
1042,Craig Perkins,M,42,13223 Arrow Way,Kansas City,MO,64108,United States,(816) 881-6040,Craig.Perkins@asumag.com,40102,A,A_Jones
1043,Darlene Smith,F,24,10953 Central Ave.,,TX,75231,US,(972) 583-3180,Darlene.Smith@investors.com,40102,A,B_Kelly
1044,David Atwood,M,53,3012 Swinton Ct,Norcross,GA,30092,.,(404) 448-5210,David.Atwood@retrevo.com,40102,Active,R_Hunt
1045,Derek Wright,M,56,1405 Starshadow Drive,Richardson,TX,75081,US,(972) 583-1730,Derek.Wright@amazon.com,40102,A,A_Jones
1046,Donald Mulder,M,54,1800 W Central Road,Mt Prospect,IL,60056,US,(847) 342-6987,Donald.Mulder@adr.com,40102,Inactive,R_Hunt
1047,Donna Clayburn,F,49,3495 Piedmont Road North East,Atlanta,GA,30305,US,,Donna.Clayburn@medscape.com,40102,A,B_Kelly
1048,Eithne Egan,M,39,32 Hartwell Avenue,Lexington,MA,2421,US,6174768000,Eithne.Egan@ft.com,40102,A,B_Kelly
1049,Elvin Smith,M,50,6700 Corporate Drive,Kansas City,MO,64120,U.S.,(816) 483-6900,Elvin.Smith@lonelyplanet.com,40102,Active,R_Hunt
1050,Eugene Jackson,M,56,8315 Jett Ferry Road,Atlanta,GA,30350,US,(404) 365-8850,Gene.Jackson@nascar.com,40102,Active,B_Kelly
1051,Fred Healy,M,32,77 North Washington Street,Boston,MA,2114,,(617) 367-0500,Fred.Healy@google.com,40102,A,A_Jones
1052,Gale Salveter,F,25,1920 Murray St,Norcross,GA,30092,US,(404) 448-5210,Gale.Salveter@retrevo.com,40102,Inactive,R_Hunt
1053,Gary Carrer,M,29,8108 Deercreek Place,Springfield,VA,22153,,(800) 633-0773,Gary.Carrer@presentations.com,40102,A,A_Jones
1054,Gene Jackson,M,56,8315 Jett Ferry Road,Atlanta,GA,30350,US,(404) 365-8850,Gene.Jackson@nascar.com,40102,A,R_Hunt
1055,Gene Saftler,M,41,420 Bedford Street,Lexington,MA,2420,,(617) 863-8588,Gene.Saftler@food411.com,40102,A,A_Jones
1056,Gerald Parker,M,51,7140 South Lewis Avenue,,OK,74136,United States,(918) 488-4020,,40102,A,A_Jones
1057,Greg Yancey,M,24,2115 East Jefferson Street,Rockville,MD,20852,US,,Greg.Yancey@foodchannel.com,40102,A,R_Hunt
1058,Harold Wirtz,M,44,2025 River Road,Norcross,GA,30092,US,(404) 448-5210,Harold.Wirtz@retrevo.com,40102,A,R_Hunt
1059,Harry Mcaleavy,M,52,2323 Grand Blvd,Kansas City,MO,64108,,(816) 474-2807,Harry.Mcaleavy@asumag.com,40102,Inactive,R_Hunt
1060,Henry Fisher,M,30,1025 The Corners Parkway,Norcross,GA,30092,US,(404) 448-5210,Henry.Fisher@retrevo.com,40102,A,R_Hunt
1061,James Rapp,M,49,20134 Endigo Ct,Norcross,GA,30092,*,(404) 448-5210,James.Rapp@retrevo.com,40102,Active,R_Hunt
1062,James Smith,M,45,1008 Avenue Of The Americas,New York,NY,10022,US,(212) 755-2551,J.Smith@monster.com,40102,A,R_Hunt
1063,Jane Hartley,F,42,14 East 60th Street,New York,NY,10022,US,(212) 755-0550,<Jane.Hartley@familysearch.org>,40102,Active,SYSTEM
1064,Janet Allen,F,31,2911 South Lewis Avenue,Tulsa,OK,74136,U.S.A.,(918) 488-4042,Janet.Allen@oasispark.net,40102,A,R_Hunt
1065,Jerry Sturner,M,61,11900 Parklawn Drive,Rockville,MD,20852,,(301) 881-2720,,40102,Active,A_Jones
1066,Jim Mullins,M,50,2012 West St,Norcross,GA,30092,US,(404) 448-5210,Jim.Mullins@retrevo.com,40102,Inactive,R_Hunt
1067,Jim Oldham,M,49,2910 Highway 80 E,Pearl,MS,39208,U.S.,Ext 51,Jim.Oldham@artmotors.com,40102,A,R_Hunt
1068,Jim Smith,M,45,1008 Avenue Of The Americas,New York,NY,10022,US,(212) 755-2551,<J.Smith@monster.com>,40102,Active,SYSTEM
1069,Joanne Masterson,F,39,45 Erieview Plaza,Cleveland,OH,44114,US,(216) 822-7642,<Joanne.Masterson@java.sun.com>,40102,Active,SYSTEM
1070,Joe Smathers,M,42,2009 Crossgate Drive,Lawrence,KS,66047,US,,mailto:Joe.Smathers@oobject.com,40102,A,A_Jones
